time;T
0,829493088;26,79389313
2,119815668;32,0610687
2,857142857;41,22137405
3,778801843;52,21374046
4,700460829;56,10687023
5,806451613;59,08396947
6,912442396;63,20610687
8,01843318;61,14503817
8,755760369;62,29007634
9,861751152;65,26717557
10,78341014;53,81679389
11,15207373;54,73282443
11,70506912;57,02290076
12,81105991;63,89312977
13,73271889;68,01526718
15,76036866;70,07633588
16,86635945;69,38931298
19,07834101;68,01526718
20;69,38931298
20,92165899;69,61832061
23,50230415;66,87022901
24,97695853;68,24427481
26,08294931;66,18320611
27,92626728;66,18320611
28,29493088;62,97709924
36,03686636;62,29007634
43,04147465;60,22900763
50,04608295;60
57,05069124;58,85496183
64,05529954;53,12977099
70,87557604;48,09160305
77,88018433;45,11450382
85,06912442;44,88549618
92,07373272;46,03053435
99,07834101;43,96946565
106,0829493;45,11450382
113,0875576;42,13740458
120,0921659;40,07633588
